model,compute_cost,seeds,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy
mlp_route_context_regret,0.02,5,1350,0.008464,0.091857,0.189794,0.340389,-1.961482,0.195278,0.399259,0.983685,0.988277,1.016741,0.902441,-0.004592,0.081245,0.48,0.488148,0.465185,0.556296
mlp_route_context_regret,0.05,5,1350,0.008464,0.091857,0.189794,0.340389,-1.961482,0.195278,0.350371,0.996402,0.988277,1.046741,0.918192,0.008126,0.078209,0.477777,0.488148,0.465185,0.556296
mlp_route_context_regret,0.1,5,1350,0.008464,0.091857,0.189794,0.340389,-1.961482,0.195278,0.3,1.008294,0.988277,1.096741,0.941071,0.020017,0.067223,0.479259,0.488148,0.465185,0.556296
mlp_sparse_diagnostics_regret,0.02,5,1350,0.008464,0.038934,0.099422,0.238865,-0.404999,0.311882,0.44,0.972703,0.988277,1.016741,0.902441,-0.015573,0.070263,0.472593,0.488148,0.465185,0.556296
mlp_sparse_diagnostics_regret,0.05,5,1350,0.008464,0.038934,0.099422,0.238865,-0.404999,0.311882,0.365926,0.983535,0.988277,1.046741,0.918192,-0.004742,0.065343,0.480741,0.488148,0.465185,0.556296
mlp_sparse_diagnostics_regret,0.1,5,1350,0.008464,0.038934,0.099422,0.238865,-0.404999,0.311882,0.254815,0.993892,0.988277,1.096741,0.941071,0.005616,0.052821,0.486667,0.488148,0.465185,0.556296
mlp_state_regret,0.02,5,1350,0.008464,0.00981,0.065813,0.193578,0.103029,0.399647,0.380741,0.96407,0.988277,1.016741,0.902441,-0.024206,0.06163,0.481481,0.488148,0.465185,0.556296
mlp_state_regret,0.05,5,1350,0.008464,0.00981,0.065813,0.193578,0.103029,0.399647,0.293333,0.969639,0.988277,1.046741,0.918192,-0.018638,0.051446,0.484445,0.488148,0.465185,0.556296
mlp_state_regret,0.1,5,1350,0.008464,0.00981,0.065813,0.193578,0.103029,0.399647,0.182222,0.975818,0.988277,1.096741,0.941071,-0.012459,0.034746,0.487407,0.488148,0.465185,0.556296
mlp_state_regret_scalar,0.02,5,1350,0.008464,0.00889,0.068545,0.200837,0.065759,0.371459,0.397037,0.971212,0.988277,1.016741,0.902441,-0.017065,0.068772,0.477778,0.488148,0.465185,0.556296
mlp_state_regret_scalar,0.05,5,1350,0.008464,0.00889,0.068545,0.200837,0.065759,0.371459,0.302963,0.973165,0.988277,1.046741,0.918192,-0.015112,0.054972,0.478518,0.488148,0.465185,0.556296
mlp_state_regret_scalar,0.1,5,1350,0.008464,0.00889,0.068545,0.200837,0.065759,0.371459,0.180741,0.980074,0.988277,1.096741,0.941071,-0.008202,0.039003,0.485926,0.488148,0.465185,0.556296
mlp_state_selector_regret,0.02,5,1350,0.008464,0.00919,0.073453,0.207181,0.011567,0.344411,0.421481,0.96884,0.988277,1.016741,0.902441,-0.019437,0.066399,0.48,0.488148,0.465185,0.556296
mlp_state_selector_regret,0.05,5,1350,0.008464,0.00919,0.073453,0.207181,0.011567,0.344411,0.323704,0.976268,0.988277,1.046741,0.918192,-0.012009,0.058075,0.485926,0.488148,0.465185,0.556296
mlp_state_selector_regret,0.1,5,1350,0.008464,0.00919,0.073453,0.207181,0.011567,0.344411,0.213333,0.987019,0.988277,1.096741,0.941071,-0.001258,0.045948,0.488148,0.488148,0.465185,0.556296
