causal_k,compute_cost,dense_correct,dense_loss,dense_regret,event_norm,hidden_dim,interaction_density,interaction_mode,label,mean_pair_distance,min_pair_distance,predicted_regret,regret_abs,sample_index,seed,selected_fraction,selector_confidence,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_dense_disagreement,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n,working_set_size
8,0.05,0,1.554444,-0.054579,1.83306,128,0.280516,pairwise,0,0.196056,0.003772,0.164667,0.164667,0,11,0.25,0.778705,0.428218,0,0.209749,1,1.052979,1.609023,0.056518,0.532877,0.528863,0.0,2048,32
8,0.05,0,1.079011,0.222,1.813495,128,0.209697,pairwise,1,0.235283,0.031594,0.160205,0.160205,1,11,0.25,0.772755,0.424429,1,0.181779,1,1.05665,0.857011,0.054141,0.533417,0.672468,0.0,2048,32
8,0.05,0,1.245144,0.305267,1.613426,128,0.181113,pairwise,2,0.227267,0.013891,0.066847,0.066847,2,11,0.25,0.780255,0.46129,0,0.183789,0,1.006891,0.939877,0.070614,0.543643,0.513891,0.0,2048,32
8,0.05,1,0.561107,-0.308371,1.649642,128,0.114446,pairwise,0,0.322554,0.048436,0.090209,0.090209,3,11,0.25,0.753515,0.41917,1,0.141167,0,1.048451,0.869478,0.030125,0.54077,0.951564,0.0,2048,32
8,0.05,0,1.24802,0.310441,1.784645,128,0.181874,pairwise,1,0.209654,0.050168,0.15125,0.15125,4,11,0.25,0.779677,0.391575,1,0.167538,1,1.067252,0.937579,0.002616,0.534607,0.566839,0.0,2048,32
8,0.05,1,0.865787,-0.139243,1.801222,128,0.124313,pairwise,2,0.216023,0.062101,0.157713,0.157713,5,11,0.25,0.762849,0.425007,0,0.178562,1,1.058681,1.005029,0.058973,0.533704,0.724473,0.0,2048,32
8,0.05,0,1.754615,0.127011,1.875611,128,0.106385,pairwise,0,0.258157,0.0553,0.170279,0.170279,6,11,0.25,0.760384,0.454726,0,0.212095,0,1.045392,1.627604,0.105851,0.530707,0.855362,0.0,2048,32
8,0.05,0,2.079634,0.724046,1.672991,128,0.211557,pairwise,1,0.189655,0.03269,0.107244,0.107244,7,11,0.25,0.746634,0.397359,0,0.134352,1,1.083336,1.355588,0.052514,0.539361,0.917271,0.0,2048,32
8,0.05,0,1.129988,0.225012,1.639264,128,0.157911,pairwise,2,0.21264,0.006097,0.088454,0.088454,8,11,0.25,0.769801,0.422981,0,0.156511,0,1.033173,0.904975,0.018429,0.541801,0.693213,0.0,2048,32
8,0.05,1,0.224626,-0.38626,1.550224,128,0.11636,pairwise,0,0.26697,0.042542,-0.031812,0.031812,9,11,0.25,0.775119,0.54287,1,0.274848,0,0.95394,0.610886,0.207026,0.550034,0.646352,0.0,2048,32
8,0.05,0,1.493306,0.484325,1.748512,128,0.237958,pairwise,1,0.196867,0.001271,0.14632,0.14632,10,11,0.25,0.772278,0.402751,0,0.16845,0,1.0734,1.008981,0.038161,0.536311,0.575531,0.0,2048,32
8,0.05,0,1.091743,0.020007,1.942994,128,0.124027,pairwise,2,0.292826,0.061722,0.179223,0.179223,11,11,0.25,0.748897,0.466203,0,0.258864,0,1.0392,1.071736,0.12379,0.528049,0.938278,0.0,2048,32
8,0.05,0,1.379321,-0.182041,1.807541,128,0.17279,pairwise,0,0.192407,0.039342,0.159318,0.159318,12,11,0.25,0.758866,0.427981,0,0.176446,1,1.058704,1.561362,0.065813,0.533326,0.83477,0.0,2048,32
8,0.05,1,0.829205,0.034101,1.868223,128,0.152127,pairwise,1,0.246868,0.023132,0.169002,0.169002,13,11,0.25,0.762424,0.451534,1,0.20428,0,1.047187,0.795104,0.101158,0.530988,0.751517,0.0,2048,32
8,0.05,0,0.949834,-0.084374,1.871183,128,0.233331,pairwise,2,0.196545,0.016306,0.168797,0.168797,14,11,0.25,0.774704,0.450709,0,0.213835,0,1.044855,1.034208,0.095201,0.531189,0.516306,0.0,2048,32
8,0.05,1,0.273161,-0.312317,1.563669,128,0.174222,pairwise,0,0.275196,0.010138,-0.008229,0.008229,15,11,0.25,0.732455,0.55684,1,0.203252,0,0.946852,0.585477,0.235063,0.547429,0.970399,0.0,2048,32
8,0.05,0,0.929633,0.108364,1.845216,128,0.214365,pairwise,1,0.206507,0.026803,0.166788,0.166788,16,11,0.25,0.774716,0.439873,1,0.214028,1,1.048584,0.821268,0.075843,0.532329,0.468392,0.0,2048,32
8,0.05,1,0.909613,-0.120824,1.826382,128,0.133901,pairwise,2,0.270122,0.011419,0.162443,0.162443,17,11,0.25,0.751621,0.432007,0,0.189204,1,1.058675,1.030437,0.075155,0.532378,0.888473,0.0,2048,32
8,0.05,1,0.46686,-0.286468,1.621071,128,0.151937,pairwise,0,0.206827,0.055169,0.068517,0.068517,18,11,0.25,0.774097,0.470797,1,0.165271,0,1.003257,0.753329,0.087699,0.542828,0.590735,0.0,2048,32
8,0.05,1,0.835458,0.019681,1.864985,128,0.180261,pairwise,1,0.198492,0.0133,0.169078,0.169078,19,11,0.25,0.751787,0.442296,1,0.21118,0,1.053661,0.815777,0.090353,0.530815,0.968346,0.0,2048,32
8,0.05,0,1.043196,-0.026138,1.918617,128,0.135047,pairwise,2,0.240659,0.012422,0.177474,0.177474,20,11,0.25,0.754636,0.467462,0,0.238966,0,1.037586,1.069335,0.124225,0.529127,0.811025,0.0,2048,32
8,0.05,1,0.185093,-0.399286,1.54233,128,0.128854,pairwise,0,0.251289,0.03209,-0.063762,0.063762,21,11,0.25,0.77248,0.557452,1,0.300214,0,0.942699,0.584379,0.232452,0.551784,0.623089,0.0,2048,32
8,0.05,0,1.581636,0.5468,1.736008,128,0.128447,pairwise,1,0.229842,0.044131,0.139801,0.139801,22,11,0.25,0.768059,0.403125,0,0.150157,0,1.077086,1.034836,0.047841,0.536709,0.612364,0.0,2048,32
8,0.05,1,0.913736,-0.114656,1.826222,128,0.183367,pairwise,2,0.223354,0.042334,0.162798,0.162798,23,11,0.25,0.748547,0.428774,0,0.191355,1,1.060579,1.028392,0.071193,0.532302,0.891436,0.0,2048,32
8,0.05,1,0.367555,-0.28363,1.591613,128,0.167092,pairwise,0,0.22586,0.009845,0.037657,0.037657,24,11,0.25,0.756336,0.521428,1,0.170944,0,0.972136,0.651185,0.172853,0.544896,0.738001,0.0,2048,32
8,0.05,0,2.358226,0.592033,1.640632,128,0.160451,pairwise,1,0.213752,0.038953,0.083619,0.083619,25,11,0.25,0.759699,0.443345,0,0.134429,0,1.030064,1.766193,0.057672,0.541349,0.777937,0.0,2048,32
