calibrated_threshold,calibration_gain_vs_zero,causal_k,compute_cost,dense_accuracy,dense_compute_ratio,dense_loss,hidden_dim,interaction_mode,layers,oracle_dense_compute_ratio,oracle_loss,propagation_steps,regret_steps,route_regret_eval_corr,route_regret_eval_mse,route_regret_mean,route_regret_negative_ratio,routed_accuracy,routed_delta_vs_sparse,routed_excess_over_oracle,routed_loss,samples,seed,sparse_accuracy,sparse_loss,status,total_objects_n,working_set_size,zero_threshold_accuracy,zero_threshold_delta_vs_sparse,zero_threshold_dense_compute_ratio,zero_threshold_loss
0.042036,0.016064,8,0.05,0.444444,0.188889,1.025595,128,pairwise,1,0.522222,0.881621,40,80,0.335973,0.08106,0.116971,0.077778,0.5,-0.040504,0.050148,0.931769,90,11,0.5,0.972272,ok,2048,32,0.5,-0.024439,0.077778,0.947833
-0.037205,0.003704,8,0.05,0.5,0.077778,1.03991,128,pairwise,1,0.433333,0.923856,40,80,0.239851,0.067715,0.066961,0.155556,0.477778,-0.008137,0.049606,0.973463,90,13,0.477778,0.9816,ok,2048,32,0.477778,-0.004434,0.155556,0.977166
-0.1,0.02617,8,0.05,0.433333,0.177778,1.054503,128,pairwise,1,0.411111,0.937374,40,80,0.466651,0.039085,-0.010909,0.444444,0.466667,-0.031105,0.032732,0.970106,90,17,0.466667,1.001211,ok,2048,32,0.455556,-0.004935,0.444444,0.996276
0.05,0.015628,8,0.05,0.5,0.3,1.023654,128,pairwise,1,0.511111,0.889383,40,80,0.419326,0.068096,0.086683,0.155556,0.5,-0.050792,0.049159,0.938542,90,19,0.5,0.989334,ok,2048,32,0.5,-0.035164,0.155556,0.95417
0.0,0.0,8,0.05,0.444444,0.277778,1.036342,128,pairwise,1,0.533333,0.958277,40,80,0.423101,0.023985,0.032769,0.277778,0.466667,-0.022259,0.027681,0.985958,90,23,0.466667,1.008217,ok,2048,32,0.466667,-0.022259,0.277778,0.985958
0.022308,-0.003174,16,0.05,0.377778,0.244444,1.074209,128,pairwise,1,0.444444,0.909137,40,80,0.521298,0.071938,0.029965,0.166667,0.488889,-0.042811,0.035034,0.944171,90,11,0.488889,0.986981,ok,2048,32,0.488889,-0.045984,0.166667,0.940997
0.153758,0.020063,16,0.05,0.444444,0.3,0.991254,128,pairwise,1,0.533333,0.806111,40,80,0.455745,0.117393,0.142025,0.1,0.511111,-0.050335,0.073261,0.879372,90,13,0.511111,0.929708,ok,2048,32,0.511111,-0.030272,0.1,0.899436
0.0,0.0,16,0.05,0.455556,0.222222,1.077568,128,pairwise,1,0.533333,0.913952,40,80,0.276385,0.116083,0.05232,0.222222,0.522222,-0.00792,0.038461,0.952413,90,17,0.522222,0.960333,ok,2048,32,0.522222,-0.00792,0.222222,0.952413
0.046402,-0.001195,16,0.05,0.5,0.166667,1.073972,128,pairwise,1,0.511111,0.910711,40,80,0.226559,0.109244,0.077588,0.033333,0.466667,-0.001743,0.053152,0.963863,90,19,0.466667,0.965606,ok,2048,32,0.466667,-0.002938,0.033333,0.962667
0.041046,-0.016567,16,0.05,0.5,0.088889,1.054979,128,pairwise,1,0.333333,0.96277,40,80,-0.036233,0.024596,0.062421,0.0,0.533333,0.016567,0.044573,1.007343,90,23,0.533333,0.990775,ok,2048,32,0.533333,0.0,0.0,0.990775
-0.113507,0.033856,32,0.05,0.422222,0.122222,1.092481,128,pairwise,1,0.344444,0.970938,40,80,0.584849,0.042484,-0.023741,0.533333,0.522222,-0.036104,0.0252,0.996137,90,11,0.522222,1.032241,ok,2048,32,0.422222,-0.002248,0.533333,1.029993
0.05,0.010342,32,0.05,0.511111,0.422222,1.022577,128,pairwise,1,0.766667,0.911501,40,80,0.242056,0.093321,0.052496,0.188889,0.477778,-0.024795,0.070123,0.981624,90,13,0.444444,1.006419,ok,2048,32,0.444444,-0.014452,0.188889,0.991966
0.036646,-0.003382,32,0.05,0.522222,0.644444,1.049815,128,pairwise,1,0.788889,0.944029,40,80,0.41246,0.07403,-0.005948,0.522222,0.522222,-0.036427,0.048146,0.992175,90,17,0.477778,1.028602,ok,2048,32,0.522222,-0.039809,0.522222,0.988793
-0.1,0.045701,32,0.05,0.455556,0.077778,1.083922,128,pairwise,1,0.544444,0.934672,40,80,0.239409,0.105325,-0.031104,0.666667,0.455556,-0.009567,0.046276,0.980948,90,19,0.455556,0.990514,ok,2048,32,0.477778,0.036134,0.666667,1.026648
-0.033299,0.021789,32,0.05,0.466667,0.244444,1.000335,128,pairwise,1,0.366667,0.918556,40,80,0.45889,0.022969,0.000171,0.411111,0.488889,-0.03481,0.026971,0.945527,90,23,0.488889,0.980337,ok,2048,32,0.488889,-0.013021,0.411111,0.967316
