causal_k,compute_cost,dense_accuracy,dense_compute_ratio,dense_loss,eval_policy,oracle_dense_compute_ratio,oracle_loss,route_regret_eval_corr,route_threshold,routed_accuracy,routed_delta_vs_sparse,routed_excess_over_oracle,routed_loss,samples,seed,selected_policy,selection_scope,sparse_accuracy,sparse_loss,total_objects_n
8,0.05,0.444444,0.188889,1.025594,validation_calibrated,0.522222,0.881621,0.335973,0.042036,0.5,-0.040504,0.050148,0.931769,90.0,11,calibrated,per_seed_validation,0.5,0.972273,2048.0
8,0.05,0.5,0.077778,1.03991,validation_calibrated,0.433333,0.923856,0.239851,-0.037205,0.477778,-0.008137,0.049606,0.973463,90.0,13,calibrated,per_seed_validation,0.477778,0.9816,2048.0
8,0.05,0.433333,0.177778,1.054503,validation_calibrated,0.411111,0.937374,0.466651,-0.1,0.466667,-0.031105,0.032732,0.970106,90.0,17,calibrated,per_seed_validation,0.466667,1.001211,2048.0
8,0.05,0.5,0.3,1.023654,validation_calibrated,0.511111,0.889383,0.419326,0.05,0.5,-0.050792,0.049159,0.938542,90.0,19,calibrated,per_seed_validation,0.5,0.989334,2048.0
8,0.05,0.444444,0.277778,1.036342,validation_calibrated,0.533333,0.958276,0.423101,0.0,0.466667,-0.022259,0.027681,0.985958,90.0,23,calibrated,per_seed_validation,0.466667,1.008217,2048.0
16,0.05,0.377778,0.244444,1.074209,validation_calibrated,0.444444,0.909137,0.521298,0.022308,0.488889,-0.042811,0.035034,0.944171,90.0,11,calibrated,per_seed_validation,0.488889,0.986981,2048.0
16,0.05,0.444444,0.3,0.991254,validation_calibrated,0.533333,0.806111,0.455745,0.153758,0.511111,-0.050335,0.073261,0.879372,90.0,13,calibrated,per_seed_validation,0.511111,0.929708,2048.0
16,0.05,0.455556,0.222222,1.077568,validation_calibrated,0.533333,0.913952,0.276385,0.0,0.522222,-0.00792,0.038461,0.952413,90.0,17,calibrated,per_seed_validation,0.522222,0.960333,2048.0
16,0.05,0.5,0.166667,1.073972,validation_calibrated,0.511111,0.910711,0.226559,0.046402,0.466667,-0.001743,0.053152,0.963863,90.0,19,calibrated,per_seed_validation,0.466667,0.965606,2048.0
16,0.05,0.5,0.088889,1.054979,validation_calibrated,0.333333,0.96277,-0.036233,0.041046,0.533333,0.016567,0.044573,1.007343,90.0,23,calibrated,per_seed_validation,0.533333,0.990775,2048.0
32,0.05,0.422222,0.122222,1.092481,validation_calibrated,0.344444,0.970938,0.584849,-0.113507,0.522222,-0.036104,0.0252,0.996137,90.0,11,calibrated,per_seed_validation,0.522222,1.032241,2048.0
32,0.05,0.511111,0.422222,1.022577,validation_calibrated,0.766667,0.911501,0.242056,0.05,0.477778,-0.024795,0.070123,0.981624,90.0,13,calibrated,per_seed_validation,0.444444,1.006419,2048.0
32,0.05,0.522222,0.644444,1.049815,validation_calibrated,0.788889,0.944029,0.41246,0.036646,0.522222,-0.036427,0.048146,0.992175,90.0,17,calibrated,per_seed_validation,0.477778,1.028602,2048.0
32,0.05,0.455556,0.077778,1.083922,validation_calibrated,0.544444,0.934672,0.239409,-0.1,0.455556,-0.009567,0.046276,0.980948,90.0,19,calibrated,per_seed_validation,0.455556,0.990514,2048.0
32,0.05,0.466667,0.244444,1.000335,validation_calibrated,0.366667,0.918556,0.45889,-0.033299,0.488889,-0.03481,0.026971,0.945527,90.0,23,calibrated,per_seed_validation,0.488889,0.980337,2048.0
8,0.05,0.444444,0.022222,1.025594,fixed_global_margin,0.522222,0.881621,0.335973,-0.05,0.5,-0.007389,0.083263,0.964884,90.0,11,margin_0.05,all_seed_retrospective,0.5,0.972273,2048.0
8,0.05,0.5,0.066667,1.03991,fixed_global_margin,0.433333,0.923856,0.239851,-0.05,0.477778,-0.008166,0.049578,0.973434,90.0,13,margin_0.05,all_seed_retrospective,0.477778,0.9816,2048.0
8,0.05,0.433333,0.255556,1.054503,fixed_global_margin,0.411111,0.937374,0.466651,-0.05,0.433333,-0.022756,0.041081,0.978456,90.0,17,margin_0.05,all_seed_retrospective,0.466667,1.001211,2048.0
8,0.05,0.5,0.088889,1.023654,fixed_global_margin,0.511111,0.889383,0.419326,-0.05,0.5,-0.028058,0.071894,0.961276,90.0,19,margin_0.05,all_seed_retrospective,0.5,0.989334,2048.0
8,0.05,0.444444,0.122222,1.036342,fixed_global_margin,0.533333,0.958276,0.423101,-0.05,0.466667,-0.024685,0.025255,0.983532,90.0,23,margin_0.05,all_seed_retrospective,0.466667,1.008217,2048.0
16,0.05,0.377778,0.111111,1.074209,fixed_global_margin,0.444444,0.909137,0.521298,-0.05,0.488889,-0.030335,0.047509,0.956646,90.0,11,margin_0.05,all_seed_retrospective,0.488889,0.986981,2048.0
16,0.05,0.444444,0.066667,0.991254,fixed_global_margin,0.533333,0.806111,0.455745,-0.05,0.511111,-0.020542,0.103054,0.909166,90.0,13,margin_0.05,all_seed_retrospective,0.511111,0.929708,2048.0
16,0.05,0.455556,0.055556,1.077568,fixed_global_margin,0.533333,0.913952,0.276385,-0.05,0.522222,-0.007744,0.038637,0.952589,90.0,17,margin_0.05,all_seed_retrospective,0.522222,0.960333,2048.0
16,0.05,0.5,0.0,1.073972,fixed_global_margin,0.511111,0.910711,0.226559,-0.05,0.466667,0.0,0.054895,0.965606,90.0,19,margin_0.05,all_seed_retrospective,0.466667,0.965606,2048.0
16,0.05,0.5,0.0,1.054979,fixed_global_margin,0.333333,0.96277,-0.036233,-0.05,0.533333,0.0,0.028006,0.990775,90.0,23,margin_0.05,all_seed_retrospective,0.533333,0.990775,2048.0
32,0.05,0.422222,0.222222,1.092481,fixed_global_margin,0.344444,0.970938,0.584849,-0.05,0.511111,-0.03535,0.025954,0.996891,90.0,11,margin_0.05,all_seed_retrospective,0.522222,1.032241,2048.0
32,0.05,0.511111,0.122222,1.022577,fixed_global_margin,0.766667,0.911501,0.242056,-0.05,0.444444,-0.014819,0.080099,0.9916,90.0,13,margin_0.05,all_seed_retrospective,0.444444,1.006419,2048.0
32,0.05,0.522222,0.244444,1.049815,fixed_global_margin,0.788889,0.944029,0.41246,-0.05,0.488889,-0.023132,0.061441,1.00547,90.0,17,margin_0.05,all_seed_retrospective,0.477778,1.028602,2048.0
32,0.05,0.455556,0.344444,1.083922,fixed_global_margin,0.544444,0.934672,0.239409,-0.05,0.466667,0.016583,0.072425,1.007097,90.0,19,margin_0.05,all_seed_retrospective,0.455556,0.990514,2048.0
32,0.05,0.466667,0.188889,1.000335,fixed_global_margin,0.366667,0.918556,0.45889,-0.05,0.488889,-0.035349,0.026431,0.944987,90.0,23,margin_0.05,all_seed_retrospective,0.488889,0.980337,2048.0
8,0.05,0.444444,0.022222,1.025594,loso_global_margin,0.522222,0.881621,0.335973,-0.05,0.5,-0.007389,0.083263,0.964884,90.0,11,margin_0.05,heldout_seed_11,0.5,0.972273,2048.0
8,0.05,0.444444,0.022222,1.025594,loso_k_conditioned_margin,0.522222,0.881621,0.335973,-0.05,0.5,-0.007389,0.083263,0.964884,90.0,11,margin_0.05,heldout_seed_11,0.5,0.972273,2048.0
16,0.05,0.377778,0.111111,1.074209,loso_global_margin,0.444444,0.909137,0.521298,-0.05,0.488889,-0.030335,0.047509,0.956646,90.0,11,margin_0.05,heldout_seed_11,0.488889,0.986981,2048.0
16,0.05,0.377778,0.155556,1.074209,loso_k_conditioned_margin,0.444444,0.909137,0.521298,-0.02,0.488889,-0.042749,0.035095,0.944232,90.0,11,margin_0.02,heldout_seed_11,0.488889,0.986981,2048.0
32,0.05,0.422222,0.222222,1.092481,loso_global_margin,0.344444,0.970938,0.584849,-0.05,0.511111,-0.03535,0.025954,0.996891,90.0,11,margin_0.05,heldout_seed_11,0.522222,1.032241,2048.0
32,0.05,0.422222,0.155556,1.092481,loso_k_conditioned_margin,0.344444,0.970938,0.584849,-0.1,0.522222,-0.036945,0.024358,0.995296,90.0,11,margin_0.1,heldout_seed_11,0.522222,1.032241,2048.0
8,0.05,0.5,0.066667,1.03991,loso_global_margin,0.433333,0.923856,0.239851,-0.05,0.477778,-0.008166,0.049578,0.973434,90.0,13,margin_0.05,heldout_seed_13,0.477778,0.9816,2048.0
8,0.05,0.5,0.155556,1.03991,loso_k_conditioned_margin,0.433333,0.923856,0.239851,-0.0,0.477778,-0.004434,0.05331,0.977166,90.0,13,margin_0,heldout_seed_13,0.477778,0.9816,2048.0
16,0.05,0.444444,0.066667,0.991254,loso_global_margin,0.533333,0.806111,0.455745,-0.05,0.511111,-0.020542,0.103054,0.909166,90.0,13,margin_0.05,heldout_seed_13,0.511111,0.929708,2048.0
16,0.05,0.444444,0.077778,0.991254,loso_k_conditioned_margin,0.533333,0.806111,0.455745,-0.02,0.511111,-0.023799,0.099797,0.905908,90.0,13,margin_0.02,heldout_seed_13,0.511111,0.929708,2048.0
