dense_compute_ratio_ci95,dense_compute_ratio_mean,eval_policy,group,routed_accuracy_ci95,routed_accuracy_mean,routed_delta_vs_sparse_ci95,routed_delta_vs_sparse_mean,routed_excess_over_oracle_ci95,routed_excess_over_oracle_mean,routed_loss_ci95,routed_loss_mean,rows,selected_policies,sparse_loss_ci95,sparse_loss_mean
0.041549,0.046667,fixed_global_margin,K=16,0.023455,0.504444,0.011718,-0.011724,0.025405,0.05442,0.025934,0.954956,5,margin_0.05,0.021475,0.966681
0.07137,0.224444,fixed_global_margin,K=32,0.022209,0.48,0.018767,-0.018413,0.022433,0.05327,0.022368,0.989209,5,margin_0.05,0.020011,1.007623
0.07761,0.111111,fixed_global_margin,K=8,0.024251,0.475556,0.008516,-0.018211,0.020505,0.054214,0.008103,0.972316,5,margin_0.05,0.012713,0.990527
0.05201,0.127407,fixed_global_margin,all,0.01413,0.486667,0.007495,-0.016116,0.012227,0.053968,0.0131,0.972161,15,margin_0.05,0.013222,0.988277
0.041549,0.046667,loso_global_margin,K=16,0.023455,0.504444,0.011718,-0.011724,0.025405,0.05442,0.025934,0.954956,5,margin_0.02;margin_0.05,0.021475,0.966681
0.150314,0.291111,loso_global_margin,K=32,0.021338,0.482222,0.022198,-0.014087,0.023077,0.057596,0.021534,0.993535,5,margin_0.02;margin_0.05,0.020011,1.007623
0.086948,0.142222,loso_global_margin,K=8,0.024251,0.475556,0.009092,-0.018025,0.018642,0.0544,0.01051,0.972503,5,margin_0.02;margin_0.05,0.012713,0.990527
0.076239,0.16,loso_global_margin,all,0.013915,0.487407,0.008351,-0.014612,0.012079,0.055472,0.013674,0.973665,15,margin_0.02;margin_0.05,0.013222,0.988277
0.085573,0.091111,loso_k_conditioned_margin,K=16,0.023455,0.504444,0.016088,-0.014894,0.02531,0.051251,0.027276,0.951787,5,margin_0;margin_0.02,0.021475,0.966681
0.096267,0.164444,loso_k_conditioned_margin,K=32,0.02521,0.48,0.019504,-0.017724,0.02419,0.053959,0.022231,0.989898,5,margin_0.05;margin_0.1,0.020011,1.007623
0.142207,0.186667,loso_k_conditioned_margin,K=8,0.017422,0.48,0.00923,-0.012933,0.01765,0.059492,0.013098,0.977594,5,margin_0;margin_0.02;margin_0.05,0.012713,0.990527
0.062956,0.147407,loso_k_conditioned_margin,all,0.013352,0.488148,0.00837,-0.015184,0.012232,0.054901,0.014264,0.973093,15,margin_0;margin_0.02;margin_0.05;margin_0.1,0.013222,0.988277
0.070433,0.204444,validation_calibrated,K=16,0.023455,0.504444,0.024866,-0.017248,0.013376,0.048896,0.040423,0.949432,5,calibrated,0.021475,0.966681
0.204456,0.302222,validation_calibrated,K=32,0.025397,0.493333,0.010114,-0.028341,0.016079,0.043343,0.01752,0.979282,5,calibrated,0.020011,1.007623
0.077793,0.204445,validation_calibrated,K=8,0.01477,0.482222,0.014404,-0.030559,0.009464,0.041865,0.020625,0.959968,5,calibrated,0.012713,0.990527
0.07492,0.237037,validation_calibrated,all,0.012537,0.493333,0.009884,-0.025383,0.00726,0.044702,0.016349,0.962894,15,calibrated,0.013222,0.988277
