causal_k,compute_cost,dense_accuracy,dense_compute_ratio,dense_loss,hidden_dim,interaction_mode,layers,margin,oracle_dense_compute_ratio,oracle_loss,policy,propagation_steps,regret_steps,route_regret_eval_corr,route_regret_eval_mse,route_regret_mean,route_threshold,routed_accuracy,routed_delta_vs_sparse,routed_excess_over_oracle,routed_loss,samples,seed,sparse_accuracy,sparse_loss,status,total_objects_n,working_set_size
8,0.05,0.444444,0.188889,1.025594,128,pairwise,1,,0.522222,0.881621,calibrated,40,80,0.335973,0.08106,0.116971,0.042036,0.5,-0.040504,0.050148,0.931769,90,11,0.5,0.972273,ok,2048,32
8,0.05,0.444444,0.077778,1.025594,128,pairwise,1,0.0,0.522222,0.881621,margin_0,40,80,0.335973,0.08106,0.116971,-0.0,0.5,-0.024439,0.066212,0.947833,90,11,0.5,0.972273,ok,2048,32
8,0.05,0.444444,0.055556,1.025594,128,pairwise,1,0.02,0.522222,0.881621,margin_0.02,40,80,0.335973,0.08106,0.116971,-0.02,0.5,-0.018504,0.072148,0.953769,90,11,0.5,0.972273,ok,2048,32
8,0.05,0.444444,0.022222,1.025594,128,pairwise,1,0.05,0.522222,0.881621,margin_0.05,40,80,0.335973,0.08106,0.116971,-0.05,0.5,-0.007389,0.083263,0.964884,90,11,0.5,0.972273,ok,2048,32
8,0.05,0.444444,0.0,1.025594,128,pairwise,1,0.1,0.522222,0.881621,margin_0.1,40,80,0.335973,0.08106,0.116971,-0.1,0.5,0.0,0.090652,0.972273,90,11,0.5,0.972273,ok,2048,32
8,0.05,0.444444,0.0,1.025594,128,pairwise,1,0.2,0.522222,0.881621,margin_0.2,40,80,0.335973,0.08106,0.116971,-0.2,0.5,0.0,0.090652,0.972273,90,11,0.5,0.972273,ok,2048,32
8,0.05,0.5,0.077778,1.03991,128,pairwise,1,,0.433333,0.923856,calibrated,40,80,0.239851,0.067715,0.066961,-0.037205,0.477778,-0.008137,0.049606,0.973463,90,13,0.477778,0.9816,ok,2048,32
8,0.05,0.5,0.155556,1.03991,128,pairwise,1,0.0,0.433333,0.923856,margin_0,40,80,0.239851,0.067715,0.066961,-0.0,0.477778,-0.004434,0.05331,0.977166,90,13,0.477778,0.9816,ok,2048,32
8,0.05,0.5,0.1,1.03991,128,pairwise,1,0.02,0.433333,0.923856,margin_0.02,40,80,0.239851,0.067715,0.066961,-0.02,0.477778,-0.008023,0.049721,0.973577,90,13,0.477778,0.9816,ok,2048,32
8,0.05,0.5,0.066667,1.03991,128,pairwise,1,0.05,0.433333,0.923856,margin_0.05,40,80,0.239851,0.067715,0.066961,-0.05,0.477778,-0.008166,0.049578,0.973434,90,13,0.477778,0.9816,ok,2048,32
