causal_k,compute_cost,dense_compute_ratio,dense_loss,hidden_dim,interaction_mode,layers,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,route_threshold,rule,samples,seed,sparse_loss,status,total_objects_n,validation_samples,verifier_trigger_rate,working_set_size
8,0.05,0.133333,1.025595,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.881621,calibrated_regret_route,0.5,-0.040118,0.050534,0.932155,40,80,0.033704,none,90,11,0.972272,ok,2048,90,0.0,32
8,0.05,0.133333,1.025595,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.881621,structured_verifier_gate,0.5,-0.040118,0.050534,0.932155,40,80,0.033704,none,90,11,0.972272,ok,2048,90,0.0,32
8,0.05,0.133333,1.025595,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.881621,physical_verifier_gate,0.5,-0.040118,0.050534,0.932155,40,80,0.033704,none,90,11,0.972272,ok,2048,90,0.0,32
8,0.05,0.077778,1.03991,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.923856,calibrated_regret_route,0.477778,-0.008137,0.049606,0.973462,40,80,-0.036979,none,90,13,0.9816,ok,2048,90,0.0,32
8,0.05,0.077778,1.03991,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.923856,structured_verifier_gate,0.477778,-0.008137,0.049606,0.973462,40,80,-0.036979,none,90,13,0.9816,ok,2048,90,0.0,32
8,0.05,0.077778,1.03991,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.923856,physical_verifier_gate,0.477778,-0.008137,0.049606,0.973462,40,80,-0.036979,none,90,13,0.9816,ok,2048,90,0.0,32
8,0.05,0.177778,1.054503,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.937374,calibrated_regret_route,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,2048,90,0.0,32
8,0.05,0.177778,1.054503,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.937374,structured_verifier_gate,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,2048,90,0.0,32
8,0.05,0.177778,1.054503,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.937374,physical_verifier_gate,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,2048,90,0.0,32
8,0.05,0.155556,1.023654,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.889383,calibrated_regret_route,0.5,-0.035164,0.064787,0.95417,40,80,-0.009123,none,90,19,0.989334,ok,2048,90,0.0,32
8,0.05,0.155556,1.023654,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.889383,structured_verifier_gate,0.5,-0.035164,0.064787,0.95417,40,80,-0.009123,none,90,19,0.989334,ok,2048,90,0.0,32
8,0.05,0.155556,1.023654,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.889383,physical_verifier_gate,0.5,-0.035164,0.064787,0.95417,40,80,-0.009123,none,90,19,0.989334,ok,2048,90,0.0,32
8,0.05,0.311111,1.036342,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.958277,calibrated_regret_route,0.466667,-0.024018,0.025922,0.984199,40,80,0.008784,none,90,23,1.008217,ok,2048,90,0.0,32
