calibrated_threshold,calibration_gain_vs_zero,causal_k,compute_cost,dense_accuracy,dense_compute_ratio,dense_loss,hidden_dim,interaction_mode,layers,model,oracle_dense_compute_ratio,oracle_loss,propagation_steps,regret_steps,route_regret_eval_corr,route_regret_eval_mse,route_regret_mean,route_regret_negative_ratio,routed_accuracy,routed_delta_vs_sparse,routed_excess_over_oracle,routed_loss,samples,seed,sparse_accuracy,sparse_loss,status,total_objects_n,working_set_size,zero_threshold_accuracy,zero_threshold_delta_vs_sparse,zero_threshold_dense_compute_ratio,zero_threshold_loss
0.069419,2.2e-05,8,0.05,0.444444,0.088889,1.020989,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.388889,0.898302,40,80,0.12928,0.047569,0.101854,0.0,0.5,-2.2e-05,0.052762,0.951064,90,11,0.511111,0.951086,ok,2048,32,0.511111,0.0,0.0,0.951086
0.060857,-0.006615,8,0.05,0.488889,0.044444,1.043377,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.366667,0.94383,40,80,-0.080854,0.032078,0.069617,0.0,0.511111,0.006615,0.044158,0.987988,90,13,0.5,0.981373,ok,2048,32,0.5,0.0,0.0,0.981373
-0.006915,0.007628,8,0.05,0.433333,0.133333,1.06089,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.455556,0.914196,40,80,0.071705,0.066057,0.015726,0.233333,0.511111,-0.002166,0.081484,0.995681,90,17,0.5,0.997846,ok,2048,32,0.511111,0.005462,0.233333,1.003309
0.1,-0.007527,8,0.05,0.522222,1.0,1.003306,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.5,0.90184,40,80,0.091995,0.079842,0.035511,0.0,0.522222,0.007527,0.101466,1.003306,90,19,0.477778,0.99578,ok,2048,32,0.477778,0.0,0.0,0.99578
0.02312,-0.000695,8,0.05,0.511111,0.1,1.01616,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.455556,0.913888,40,80,0.150542,0.037667,0.044828,0.011111,0.533333,-0.000858,0.055392,0.969281,90,23,0.522222,0.970138,ok,2048,32,0.522222,-0.001553,0.011111,0.968586
0.020873,0.015642,16,0.05,0.488889,0.422222,1.041535,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.577778,0.904124,40,80,0.380117,0.089654,0.023939,0.066667,0.488889,-0.024572,0.046464,0.950588,90,11,0.444444,0.97516,ok,2048,32,0.444444,-0.00893,0.066667,0.966229
0.183497,-0.023883,16,0.05,0.444444,0.744444,0.972333,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.511111,0.776632,40,80,0.248927,0.142679,0.175215,0.0,0.5,0.023883,0.156639,0.933272,90,13,0.555556,0.909389,ok,2048,32,0.555556,0.0,0.0,0.909389
0.065909,-0.074635,16,0.05,0.4,0.3,1.096142,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.477778,0.874905,40,80,-0.176439,0.158111,0.07006,0.0,0.511111,0.074635,0.146283,1.021189,90,17,0.488889,0.946554,ok,2048,32,0.488889,0.0,0.0,0.946554
-0.039461,0.047748,16,0.05,0.422222,0.088889,1.029321,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.511111,0.920116,40,80,0.164598,0.074813,-0.009335,0.711111,0.466667,-0.001722,0.048176,0.968292,90,19,0.477778,0.970015,ok,2048,32,0.455556,0.046025,0.711111,1.01604
0.076213,0.004359,16,0.05,0.444444,0.022222,1.106395,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.455556,0.926385,40,80,0.090942,0.104415,0.09068,0.0,0.477778,-0.004359,0.057559,0.983944,90,23,0.477778,0.988303,ok,2048,32,0.477778,0.0,0.0,0.988303
-0.031472,0.027191,32,0.05,0.455556,0.066667,1.096282,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.488889,0.986246,40,80,0.441678,0.040923,-0.006932,0.666667,0.477778,-0.011155,0.027138,1.013384,90,11,0.477778,1.02454,ok,2048,32,0.455556,0.016035,0.666667,1.040575
0.069628,-0.00922,32,0.05,0.511111,0.566667,1.039435,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.466667,0.885093,40,80,0.06222,0.119355,0.068422,0.0,0.488889,0.00922,0.130076,1.015168,90,13,0.455556,1.005948,ok,2048,32,0.455556,0.0,0.0,1.005948
0.05407,0.024689,32,0.05,0.455556,0.5,1.06785,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.611111,0.95671,40,80,0.289488,0.077565,0.054941,0.0,0.433333,-0.024689,0.054026,1.010737,90,17,0.422222,1.035426,ok,2048,32,0.422222,0.0,0.0,1.035426
0.028664,0.012338,32,0.05,0.455556,0.2,1.076929,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.422222,0.908448,40,80,0.290385,0.098266,0.055185,0.0,0.466667,-0.012338,0.068471,0.976918,90,19,0.466667,0.989256,ok,2048,32,0.466667,0.0,0.0,0.989256
0.0,0.0,32,0.05,0.444444,0.177778,1.028932,128,pairwise,1,wpu-cws-indexed-state-regret-hybrid,0.377778,0.926331,40,80,0.257171,0.03352,0.011789,0.177778,0.533333,-0.02796,0.034923,0.961254,90,23,0.533333,0.989213,ok,2048,32,0.533333,-0.02796,0.177778,0.961254
