compute_cost,dense_loss,dense_rate,expansion_cost,oracle_accuracy,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,route_threshold,rule,samples,sparse_loss,test_seed,trigger_rate
0.05,1.064095,0.148148,0.0,0.555556,0.920565,calibrated_regret_route,0.496296,-0.025544,0.051056,0.971621,-0.039397,none,270,0.997165,11,0.0
0.05,1.064095,0.107407,0.0,0.555556,0.920565,structured_verifier_gate,0.503704,-0.028385,0.048215,0.96878,-0.039397,sparse_margin:ge:0.147447 AND event_norm:le:1.607220,270,0.997165,11,0.166667
0.05,1.064095,0.107407,0.0,0.555556,0.920565,physical_verifier_gate,0.503704,-0.028385,0.048215,0.96878,-0.039397,event_norm:le:1.607220,270,0.997165,11,0.177778
0.05,1.064095,0.148148,0.0,0.555556,0.920565,structured_expansion_upper_bound,0.555556,-0.0766,0.0,0.920565,-0.039397,causal_k:ge:8.000000,270,0.997165,11,1.0
0.05,1.064095,0.148148,0.0,0.555556,0.920565,physical_expansion_upper_bound,0.555556,-0.0766,0.0,0.920565,-0.039397,causal_k:ge:8.000000,270,0.997165,11,1.0
0.05,1.064095,0.148148,0.0,0.555556,0.920565,structured_expansion_upper_bound_budget_0.1,0.496296,-0.025544,0.051056,0.971621,-0.039397,selector_confidence:le:0.442622,270,0.997165,11,0.0
0.05,1.064095,0.148148,0.0,0.555556,0.920565,physical_expansion_upper_bound_budget_0.1,0.5,-0.028549,0.048051,0.968617,-0.039397,mean_pair_distance:le:0.166407,270,0.997165,11,0.111111
0.05,1.064095,0.148148,0.0,0.555556,0.920565,structured_expansion_upper_bound_budget_0.25,0.496296,-0.025544,0.051056,0.971621,-0.039397,selector_confidence:le:0.495145,270,0.997165,11,0.0
0.05,1.064095,0.148148,0.0,0.555556,0.920565,physical_expansion_upper_bound_budget_0.25,0.5,-0.032777,0.043823,0.964388,-0.039397,mean_pair_distance:le:0.174495,270,0.997165,11,0.185185
0.05,1.064095,0.148148,0.0,0.555556,0.920565,structured_expansion_upper_bound_budget_0.5,0.522222,-0.050452,0.026148,0.946713,-0.039397,min_pair_distance:le:0.011561,270,0.997165,11,0.474074
