dense_rate_mean,dense_rate_std,expansion_cost,n,policy,policy_accuracy_mean,policy_accuracy_std,policy_delta_vs_sparse_mean,policy_delta_vs_sparse_std,policy_excess_over_oracle_mean,policy_excess_over_oracle_std,policy_loss_mean,policy_loss_std,trigger_rate_mean,trigger_rate_std
0.156296,0.036015,0.0,5,calibrated_regret_route,0.485185,0.010734,-0.014676,0.007376,0.055408,0.015604,0.973601,0.008335,0.0,0.0
0.156296,0.036015,0.0,5,physical_expansion_upper_bound,0.556296,0.020068,-0.070084,0.014871,0.0,0.0,0.918192,0.022176,1.0,0.0
0.156296,0.036015,0.01,5,physical_expansion_upper_bound,0.556296,0.020068,-0.060084,0.014871,0.01,0.0,0.928192,0.022176,1.0,0.0
0.156296,0.036015,0.02,5,physical_expansion_upper_bound,0.556296,0.020068,-0.04975,0.012805,0.020334,0.002213,0.938527,0.020066,0.951852,0.059536
0.156296,0.036015,0.05,5,physical_expansion_upper_bound,0.518518,0.011712,-0.019207,0.008359,0.050877,0.009928,0.96907,0.013225,0.479259,0.203395
0.156296,0.036015,0.0,5,physical_expansion_upper_bound_budget_0.1,0.49037,0.009544,-0.02066,0.009345,0.049425,0.017403,0.967617,0.009574,0.08963,0.046342
0.156296,0.036015,0.01,5,physical_expansion_upper_bound_budget_0.1,0.49037,0.009544,-0.019819,0.008909,0.050265,0.017128,0.968458,0.009412,0.074815,0.039014
0.156296,0.036015,0.02,5,physical_expansion_upper_bound_budget_0.1,0.49037,0.009544,-0.018937,0.008458,0.051147,0.016841,0.96934,0.009292,0.071852,0.036334
0.156296,0.036015,0.05,5,physical_expansion_upper_bound_budget_0.1,0.488148,0.010836,-0.016463,0.007367,0.053621,0.016721,0.971814,0.008221,0.06,0.039572
0.156296,0.036015,0.0,5,physical_expansion_upper_bound_budget_0.25,0.5,0.011712,-0.025183,0.006131,0.044901,0.014386,0.963093,0.009434,0.202222,0.025936
0.156296,0.036015,0.01,5,physical_expansion_upper_bound_budget_0.25,0.5,0.011712,-0.023068,0.006256,0.047016,0.014113,0.965209,0.009875,0.182963,0.025831
0.156296,0.036015,0.02,5,physical_expansion_upper_bound_budget_0.25,0.5,0.011712,-0.021187,0.006439,0.048897,0.013949,0.96709,0.010141,0.174074,0.02479
0.156296,0.036015,0.05,5,physical_expansion_upper_bound_budget_0.25,0.497037,0.012262,-0.015393,0.007139,0.054691,0.014288,0.972884,0.010002,0.152593,0.047684
0.156296,0.036015,0.0,5,physical_expansion_upper_bound_budget_0.5,0.522963,0.012261,-0.044741,0.006574,0.025344,0.009856,0.943536,0.012576,0.488889,0.038276
0.156296,0.036015,0.01,5,physical_expansion_upper_bound_budget_0.5,0.522963,0.012261,-0.039899,0.006221,0.030185,0.010011,0.948377,0.012273,0.467408,0.054604
0.156296,0.036015,0.02,5,physical_expansion_upper_bound_budget_0.5,0.522963,0.012261,-0.03437,0.00542,0.035714,0.011665,0.953906,0.010661,0.445926,0.067387
0.156296,0.036015,0.05,5,physical_expansion_upper_bound_budget_0.5,0.513333,0.01474,-0.021625,0.004523,0.048459,0.012128,0.966652,0.010471,0.354074,0.06084
0.124444,0.020501,0.0,5,physical_verifier_gate,0.487407,0.011136,-0.017499,0.006634,0.052585,0.016478,0.970778,0.007035,0.217778,0.034219
0.156296,0.036015,0.0,5,structured_expansion_upper_bound,0.556296,0.020068,-0.070084,0.014871,0.0,0.0,0.918192,0.022176,1.0,0.0
0.156296,0.036015,0.01,5,structured_expansion_upper_bound,0.556296,0.020068,-0.060084,0.014871,0.01,0.0,0.928192,0.022176,1.0,0.0
0.156296,0.036015,0.02,5,structured_expansion_upper_bound,0.556296,0.020068,-0.04975,0.012805,0.020334,0.002213,0.938527,0.020066,0.951852,0.059536
0.156296,0.036015,0.05,5,structured_expansion_upper_bound,0.525926,0.036213,-0.014016,0.009687,0.056068,0.01107,0.974261,0.013169,0.614815,0.38188
0.156296,0.036015,0.0,5,structured_expansion_upper_bound_budget_0.1,0.488148,0.010317,-0.017755,0.008035,0.052329,0.016808,0.970522,0.010107,0.037037,0.044629
0.156296,0.036015,0.01,5,structured_expansion_upper_bound_budget_0.1,0.488148,0.010317,-0.017346,0.007847,0.052738,0.016489,0.97093,0.00992,0.02963,0.032542
0.156296,0.036015,0.02,5,structured_expansion_upper_bound_budget_0.1,0.488148,0.010317,-0.017094,0.007734,0.05299,0.016379,0.971182,0.009698,0.027407,0.034074
0.156296,0.036015,0.05,5,structured_expansion_upper_bound_budget_0.1,0.485185,0.010734,-0.015443,0.007481,0.054641,0.017164,0.972833,0.007586,0.018519,0.03018
0.156296,0.036015,0.0,5,structured_expansion_upper_bound_budget_0.25,0.503704,0.02566,-0.020403,0.010256,0.049682,0.019454,0.967874,0.007848,0.12,0.139558
0.156296,0.036015,0.01,5,structured_expansion_upper_bound_budget_0.25,0.502963,0.025054,-0.019988,0.009441,0.050096,0.019498,0.968289,0.007124,0.158518,0.16521
0.156296,0.036015,0.02,5,structured_expansion_upper_bound_budget_0.25,0.502963,0.025054,-0.018403,0.008596,0.051681,0.018103,0.969874,0.007214,0.158518,0.16521
0.156296,0.036015,0.05,5,structured_expansion_upper_bound_budget_0.25,0.491111,0.017309,-0.013621,0.007819,0.056463,0.014414,0.974656,0.009218,0.095556,0.125564
0.156296,0.036015,0.0,5,structured_expansion_upper_bound_budget_0.5,0.525926,0.010734,-0.044883,0.006306,0.025201,0.010019,0.943394,0.012382,0.517037,0.038817
0.156296,0.036015,0.01,5,structured_expansion_upper_bound_budget_0.5,0.521481,0.013937,-0.038278,0.006195,0.031807,0.012099,0.949999,0.010546,0.482222,0.063306
