accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_reject_margin,deployment_risk_adjusted,deployment_risk_penalty,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,learned_generated_candidates,loss,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_generated_0_rate,selected_learned_generated_1_rate,selected_learned_generated_2_rate,selected_learned_generated_3_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_seed_count,train_static_learned_loss,train_verified_candidate_accept_rate,train_verified_candidate_regret_loss,train_verified_uncertainty_accept_rate,train_verified_uncertainty_regret_loss,validation_samples_per_seed,verification_feature_count
,0.5,4,0.939425,8,600,,,,0.031081,700,4,,11,pairwise,4,0.970506,0.022222,static_learned_interaction,,,40,,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.977778,0.5,4,0.939425,8,600,0.0,0.0,0.5,0.031537,700,4,0.466667,11,pairwise,4,0.970962,0.133333,verified_candidate_regret_gate,-0.006671,0.055077,40,0.108485,600,400,11,0.155556,0.022222,0.055556,0.233333,0.022222,0.211111,0.011111,0.0,0.244444,0.144444,0.066667,0.088889,0.011111,0.0,0.0,0.022222,0.188889,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.844444,0.5,4,0.939425,8,600,0.0,1.0,0.5,0.030788,700,4,0.4,11,pairwise,4,0.970213,0.111111,verified_uncertainty_regret_gate,-0.006671,0.055077,40,0.108485,600,400,11,0.133333,0.0,0.055556,0.188889,0.011111,0.188889,0.022222,0.0,0.222222,0.111111,0.066667,0.088889,0.011111,0.0,0.0,0.155556,0.155556,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.933333,0.5,4,0.939425,8,600,0.005,0.0,0.5,0.031842,700,4,0.455556,11,pairwise,4,0.971268,0.1,train_selected_verified_candidate_controller,-0.006671,0.055077,40,0.108485,600,400,11,0.133333,0.011111,0.055556,0.2,0.022222,0.211111,0.011111,0.0,0.244444,0.144444,0.066667,0.088889,0.011111,0.0,0.0,0.066667,0.177778,0.951389,0.674062,0.15,0.957031,candidate_regret_gate_m0p005,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
,0.511111,4,0.939425,8,600,,,,0.0,700,4,,11,pairwise,4,0.939425,1.0,generated_plus_composition_oracle,,,40,,600,400,11,0.233333,0.033333,0.066667,0.333333,0.088889,0.111111,0.055556,0.011111,0.266667,0.188889,0.033333,0.0,0.011111,0.0,0.022222,0.022222,0.122222,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.955556,0.5,4,0.939425,8,600,0.0025,0.0,0.5,0.031781,700,4,0.466667,11,pairwise,4,0.971206,0.111111,verified_candidate_regret_gate_m0p0025,-0.006671,0.055077,40,0.108485,600,400,11,0.144444,0.011111,0.055556,0.211111,0.022222,0.211111,0.011111,0.0,0.244444,0.144444,0.066667,0.088889,0.011111,0.0,0.0,0.044444,0.188889,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.933333,0.5,4,0.939425,8,600,0.005,0.0,0.5,0.031842,700,4,0.455556,11,pairwise,4,0.971268,0.1,verified_candidate_regret_gate_m0p005,-0.006671,0.055077,40,0.108485,600,400,11,0.133333,0.011111,0.055556,0.2,0.022222,0.211111,0.011111,0.0,0.244444,0.144444,0.066667,0.088889,0.011111,0.0,0.0,0.066667,0.177778,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.877778,0.5,4,0.939425,8,600,0.01,0.0,0.5,0.032052,700,4,0.422222,11,pairwise,4,0.971477,0.088889,verified_candidate_regret_gate_m0p01,-0.006671,0.055077,40,0.108485,600,400,11,0.1,0.0,0.055556,0.155556,0.011111,0.211111,0.011111,0.0,0.233333,0.144444,0.066667,0.088889,0.011111,0.0,0.0,0.122222,0.177778,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.855556,0.5,4,0.939425,8,600,0.02,0.0,0.5,0.031327,700,4,0.4,11,pairwise,4,0.970752,0.088889,verified_candidate_regret_gate_m0p02,-0.006671,0.055077,40,0.108485,600,400,11,0.1,0.0,0.055556,0.155556,0.011111,0.211111,0.011111,0.0,0.233333,0.133333,0.066667,0.088889,0.011111,0.0,0.0,0.144444,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.622222,0.5,4,0.939425,8,600,0.05,0.0,0.5,0.030475,700,4,0.288889,11,pairwise,4,0.9699,0.066667,verified_candidate_regret_gate_m0p05,-0.006671,0.055077,40,0.108485,600,400,11,0.088889,0.0,0.033333,0.122222,0.011111,0.144444,0.0,0.0,0.155556,0.111111,0.033333,0.055556,0.0,0.0,0.0,0.377778,0.144444,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.844444,0.5,4,0.939425,8,600,0.0025,1.0,0.5,0.030788,700,4,0.4,11,pairwise,4,0.970213,0.111111,verified_uncertainty_regret_gate_r0p5_m0p0025,-0.006671,0.055077,40,0.108485,600,400,11,0.133333,0.0,0.055556,0.188889,0.011111,0.188889,0.022222,0.0,0.222222,0.111111,0.066667,0.088889,0.011111,0.0,0.0,0.155556,0.155556,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.833333,0.5,4,0.939425,8,600,0.005,1.0,0.5,0.030723,700,4,0.388889,11,pairwise,4,0.970148,0.111111,verified_uncertainty_regret_gate_r0p5_m0p005,-0.006671,0.055077,40,0.108485,600,400,11,0.133333,0.0,0.055556,0.188889,0.011111,0.188889,0.022222,0.0,0.222222,0.111111,0.066667,0.077778,0.011111,0.0,0.0,0.166667,0.155556,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.766667,0.5,4,0.939425,8,600,0.01,1.0,0.5,0.031354,700,4,0.366667,11,pairwise,4,0.970779,0.111111,verified_uncertainty_regret_gate_r0p5_m0p01,-0.006671,0.055077,40,0.108485,600,400,11,0.133333,0.0,0.044444,0.177778,0.011111,0.166667,0.0,0.0,0.177778,0.1,0.066667,0.077778,0.011111,0.0,0.0,0.233333,0.155556,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.677778,0.5,4,0.939425,8,600,0.02,1.0,0.5,0.03074,700,4,0.322222,11,pairwise,4,0.970165,0.1,verified_uncertainty_regret_gate_r0p5_m0p02,-0.006671,0.055077,40,0.108485,600,400,11,0.133333,0.0,0.033333,0.166667,0.011111,0.122222,0.0,0.0,0.133333,0.1,0.044444,0.077778,0.011111,0.0,0.0,0.322222,0.144444,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
