source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,mean_selection_train_gap_closure,mean_selection_train_harmful_accept_rate,seed_count,failure_mode
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,train_selected_verified_candidate_controller,0.988432,0.955186,0.033246,0.988659,0.508889,0.137778,-0.000227,-0.006834,0.033473,0.875555,0.397778,0.092232,0.050959,0.666428,0.136111,5,harmful_transfer
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_candidate_regret_gate,0.988432,0.955186,0.033246,0.987743,0.511111,0.157778,0.000689,0.020725,0.032557,0.942222,0.415556,0.092232,0.050959,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_candidate_regret_gate_m0p0025,0.988432,0.955186,0.033246,0.987975,0.511111,0.151111,0.000457,0.013746,0.032789,0.931111,0.413333,0.092232,0.050959,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_candidate_regret_gate_m0p005,0.988432,0.955186,0.033246,0.988359,0.508889,0.142222,7.2e-05,0.002172,0.033173,0.897778,0.402222,0.092232,0.050959,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_candidate_regret_gate_m0p01,0.988432,0.955186,0.033246,0.988929,0.506667,0.131111,-0.000498,-0.014973,0.033743,0.844444,0.386667,0.092232,0.050959,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_candidate_regret_gate_m0p02,0.988432,0.955186,0.033246,0.988419,0.513333,0.115556,1.2e-05,0.000373,0.033233,0.742222,0.337778,0.092232,0.050959,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_candidate_regret_gate_m0p05,0.988432,0.955186,0.033246,0.988431,0.508889,0.042222,1e-06,3e-05,0.033245,0.28,0.124445,0.092232,0.050959,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_uncertainty_regret_gate,0.988432,0.955186,0.033246,0.988231,0.511111,0.1,0.000201,0.006034,0.033045,0.644444,0.293333,0.092232,0.050959,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_uncertainty_regret_gate_r0p5_m0p0025,0.988432,0.955186,0.033246,0.98793,0.513333,0.095556,0.000501,0.015076,0.032744,0.611111,0.277778,0.092232,0.050959,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_uncertainty_regret_gate_r0p5_m0p005,0.988432,0.955186,0.033246,0.987666,0.513333,0.086667,0.000766,0.023029,0.03248,0.557778,0.248889,0.092232,0.050959,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_uncertainty_regret_gate_r0p5_m0p01,0.988432,0.955186,0.033246,0.987851,0.508889,0.08,0.000581,0.017464,0.032665,0.473333,0.211111,0.092232,0.050959,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_uncertainty_regret_gate_r0p5_m0p02,0.988432,0.955186,0.033246,0.98891,0.508889,0.051111,-0.000478,-0.014378,0.033724,0.333333,0.16,0.092232,0.050959,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_verified_candidate_controller.csv,2048,8,verified_uncertainty_regret_gate_r0p5_m0p05,0.988432,0.955186,0.033246,0.988199,0.506667,0.02,0.000233,0.007002,0.033013,0.131111,0.055556,0.092232,0.050959,0.0,0.0,5,partial_but_insufficient_gap_closure
